Time(s)	Velocity_X(km/s)	Position_X(km)
18.88888888888889	-0.00010130597309796327	7099.999042599009
19.0	-0.00010190072269571466	7099.99903130973
19.0	-0.00010190072264702199	7099.999031309492
19.2	-0.00010297125968455946	7099.999010929348
19.3	-0.00010350647861331254	7099.999000498405
19.8	-0.00010618251821762618	7099.9989480762315
19.88888888888889	-0.00010665822979227297	7099.998938616815
20.0	-0.0001072528569742174	7099.998926732847
20.0	-0.00010725285692558546	7099.998926732611
20.2	-0.00010832317362225655	7099.998905282039
20.3	-0.00010885828241133245	7099.998894315932
20.8	-0.00011153377135137339	7099.998839217995
20.88888888888889	-0.00011200938504798832	7099.998829282917
21.0	-0.00011260388989004186	7099.998816804383
21.0	-0.00011260388984147056	7099.9988168041455
21.2	-0.00011367398633391787	7099.998794283368
21.3	-0.00011420898505161248	7099.998782782207
21.8	-0.00011688392366883194	7099.998725009055
21.88888888888889	-0.00011735943954810276	7099.998714598412
22.0	-0.00011795382212611867	7099.998701525435
22.0	-0.00011795382207760795	7099.998701525198
22.2	-0.00011902369850236114	7099.9986779344335
22.3	-0.00011955858721691391	7099.998665898329
22.8	-0.000122232975852481	7099.998605450514
22.88888888888889	-0.00012270839397504526	7099.998594564404
23.0	-0.0001233026543648142	7099.998580897105
23.0	-0.00012330265431636397	7099.998580896869
23.2	-0.00012437231080983992	7099.998556236338
23.3	-0.00012490708958943394	7099.9985436654
23.8	-0.0001275809285842359	7099.998480543471
23.88888888888889	-0.00012805624901068106	7099.998469181991
24.0	-0.00012865038728793104	7099.998454920493
24.0	-0.00012865038723954125	7099.998454920256
24.2	-0.00012971982393804419	7099.998429190179
24.3	-0.00013025449285080615	7099.998416084517
24.8	-0.00013292778254544866	7099.998350289024
24.88888888888889	-0.00013340300533631219	7099.998338452272
25.0	-0.00013399702157670867	7099.9983235966965
25.0	-0.00013399702152837924	7099.99832359646
25.2	-0.00013506623856810075	7099.998296797055
25.3	-0.0001356007976821012	7099.9982831567795
25.8	-0.00013827353841690864	7099.998214688271
25.88888888888889	-0.00013874866363267798	7099.998202376346
26.0	-0.00013934255791182398	7099.998186926815
26.0	-0.00013934255786355487	7099.9981869265785
26.2	-0.0001404115553805741	7099.998159058066
26.3	-0.00014094600476382733	7099.998144883287
26.8	-0.00014361819687884318	7099.998073742312
26.88888888888889	-0.00014409322457995585	7099.9980609553095
27.0	-0.00014468699697339193	7099.998044911946
27.0	-0.00014468699692518302	7099.998044911709
27.2	-0.00014575577505546682	7099.99801597431
27.3	-0.00014629011477593098	7099.998001265135
27.8	-0.00014896175861091795	7099.997927452242
27.88888888888889	-0.00014943668885776157	7099.997914190261
28.0	-0.000150030339440966	7099.997897553186
28.0	-0.00015003033939281723	7099.997897552949
28.2	-0.0001510988982722202	7099.997867546881
28.3	-0.00015163312839779733	7099.9978523034215
28.8	-0.0001543042242922378	7099.997775819159
28.88888888888889	-0.00015477905714515017	7099.9977620822965
29.0	-0.00015537258599353888	7099.997744851631
29.0	-0.0001553725859454502	7099.9977448513955
29.2	-0.00015644092570971484	7099.997713776878
29.3	-0.000156975046308251	7099.997697999243
29.8	-0.0001596455946013472	7099.997618844159
29.88888888888889	-0.00016012033012061631	7099.997604632512
30.0	-0.00016071373730954303	7099.997586808378
30.0	-0.00016071373726151436	7099.997586808143
30.2	-0.00016178185804627116	7099.997554665395
30.3	-0.00016231586918555638	7099.997538353695
30.8	-0.00016498587021623073	7099.997456528335
30.88888888888889	-0.00016546050846209492	7099.9974418420015
31.0	-0.00016605379406685122	7099.997423424522
31.0	-0.00016605379401888248	7099.997423424286
31.2	-0.00016712169595965005	7099.997390213528
31.3	-0.00016765559770741853	7099.99737336787
31.8	-0.00017032505181431391	7099.997288872783
31.88888888888889	-0.00017079959284696175	7099.99727371186
32.0	-0.00017139275694277712	7099.997254701155
32.0	-0.00017139275689486823	7099.99725470092
32.2	-0.00017246044012705347	7099.997220422369
32.3	-0.0001729942325509835	7099.997203042864
32.8	-0.00017566314007246353	7099.997115878597
32.888888888888886	-0.000176137583952034	7099.99710024318
33.0	-0.00017673062661407586	7099.997080639372
33.0	-0.0001767306265662268	7099.9970806391375
33.2	-0.0001777980912251249	7099.997045293012
33.3	-0.00017833177439283897	7099.99702737977
33.8	-0.00018100013566698837	7099.996937546867
33.888888888888886	-0.00018147448245357087	7099.996921437057
34.0	-0.00018206740375694474	7099.996901240266
34.0	-0.00018206740370915538	7099.996901240032
34.2	-0.00018313464992995005	7099.996864826551
34.3	-0.00018366822390901492	7099.99684637968
34.8	-0.0001863360392736397	7099.99675387869
34.888888888888886	-0.0001868102890272741	7099.996737294579
35.0	-0.00018740308904702355	7099.996716504929
